level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10
367,16,0,0,0,0,0,0,0,0,0
82,5,0,0,0,0,0,0,0,0,0
150,22,0,0,0,0,0,0,0,0,0
150,16,0,0,0,0,0,0,0,0,0
424,12,0,0,0,0,0,0,0,0,0
404,16,0,0,0,0,0,0,0,0,0
424,16,0,0,0,0,0,0,0,0,0
367,5,0,0,0,0,0,0,0,0,0
424,5,0,0,0,0,0,0,0,0,0
424,19,0,0,0,0,0,0,0,0,0
472,12,0,0,0,0,0,0,0,0,0
424,12,0,0,0,0,0,0,0,0,0
424,12,0,0,0,0,0,0,0,0,0
453,16,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0
472,12,0,0,0,0,0,0,0,0,0
150,12,0,0,0,0,0,0,0,0,0
441,5,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0
404,5,0,0,0,0,0,0,0,0,0
472,16,0,0,0,0,0,0,0,0,0
150,12,0,0,0,0,0,0,0,0,0
472,22,0,0,0,0,0,0,0,0,0
424,19,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,0
232,19,0,0,0,0,0,0,0,0,0
453,0,0,0,0,0,0,0,0,0,0
404,12,0,0,0,0,0,0,0,0,0
127,19,0,0,0,0,0,0,0,0,0
424,12,0,0,0,0,0,0,0,0,0
367,12,0,0,0,0,0,0,0,0,0
424,12,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,0
404,19,0,0,0,0,0,0,0,0,0
424,16,0,0,0,0,0,0,0,0,0
367,19,0,0,0,0,0,0,0,0,0
127,12,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0
367,22,0,0,0,0,0,0,0,0,0
150,16,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,0
424,19,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,0
150,12,0,0,0,0,0,0,0,0,0
441,12,0,0,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,0
367,16,0,0,0,0,0,0,0,0,0
232,19,0,0,0,0,0,0,0,0,0
150,16,0,0,0,0,0,0,0,0,0
424,22,0,0,0,0,0,0,0,0,0
150,19,0,0,0,0,0,0,0,0,0
404,16,0,0,0,0,0,0,0,0,0
453,12,0,0,0,0,0,0,0,0,0
367,12,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0
232,12,0,0,0,0,0,0,0,0,0
424,16,0,0,0,0,0,0,0,0,0
232,12,0,0,0,0,0,0,0,0,0
127,12,0,0,0,0,0,0,0,0,0
150,16,0,0,0,0,0,0,0,0,0
424,12,0,0,0,0,0,0,0,0,0
404,16,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0,0,0,0
404,12,0,0,0,0,0,0,0,0,0
472,5,0,0,0,0,0,0,0,0,0
404,16,0,0,0,0,0,0,0,0,0
404,19,0,0,0,0,0,0,0,0,0
