level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
863,8,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
863,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
654,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
863,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
771,2,0,0,0,0,0,0,0,0,0
863,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
723,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0,0
723,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
863,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
843,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
654,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
654,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
863,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
302,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
771,0,0,0,0,0,0,0,0,0,0
654,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
723,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
863,0,0,0,0,0,0,0,0,0,0
723,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
843,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
654,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
863,8,0,0,0,0,0,0,0,0,0
723,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
863,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
843,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
654,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
654,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
723,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
654,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
843,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
570,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
863,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
863,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
771,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
570,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
863,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
723,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
863,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
843,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
654,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
723,2,0,0,0,0,0,0,0,0,0
863,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
723,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
771,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0,0
654,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0,0
570,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
654,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
654,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,8,0,0,0,0,0,0,0,0,0
570,8,0,0,0,0,0,0,0,0,0
723,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0,0
654,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
723,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
863,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
723,8,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
302,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
863,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
723,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
863,0,0,0,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
723,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
863,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
771,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
863,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
654,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
723,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
863,0,0,0,0,0,0,0,0,0,0
723,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
723,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
863,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
723,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
723,8,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
654,0,0,0,0,0,0,0,0,0,0
989,2,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
771,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0
